,date,country,state,confirmed,deaths,recovered,month_year
139,2020-03-01,Nigeria,Osun,0,0,0,2020-03
140,2020-03-01,Nigeria,Ondo,0,0,0,2020-03
141,2020-03-01,Nigeria,Oyo,0,0,0,2020-03
142,2020-03-01,Nigeria,Plateau,0,0,0,2020-03
143,2020-03-01,Nigeria,Rivers,0,0,0,2020-03
144,2020-03-01,Nigeria,Sokoto,0,0,0,2020-03
145,2020-03-01,Nigeria,Taraba,0,0,0,2020-03
146,2020-03-01,Nigeria,Yobe,0,0,0,2020-03
147,2020-03-01,Nigeria,Zamfara,0,0,0,2020-03
148,2020-03-02,Nigeria,Abia,0,0,0,2020-03
149,2020-03-02,Nigeria,Adamawa,0,0,0,2020-03
150,2020-03-02,Nigeria,Akwa Ibom,0,0,0,2020-03
151,2020-03-02,Nigeria,Anambra,0,0,0,2020-03
152,2020-03-02,Nigeria,Bauchi,0,0,0,2020-03
153,2020-03-02,Nigeria,Bayelsa,0,0,0,2020-03
154,2020-03-02,Nigeria,Benue,0,0,0,2020-03
155,2020-03-02,Nigeria,Borno,0,0,0,2020-03
156,2020-03-02,Nigeria,Cross River,0,0,0,2020-03
157,2020-03-02,Nigeria,Delta,0,0,0,2020-03
158,2020-03-02,Nigeria,Ebonyi,0,0,0,2020-03
159,2020-03-02,Nigeria,Edo,0,0,0,2020-03
160,2020-03-02,Nigeria,Ekiti,0,0,0,2020-03
161,2020-03-02,Nigeria,Enugu,0,0,0,2020-03
162,2020-03-02,Nigeria,Federal Capital Territory,0,0,0,2020-03
163,2020-03-02,Nigeria,Gombe,0,0,0,2020-03
164,2020-03-02,Nigeria,Imo,0,0,0,2020-03
165,2020-03-02,Nigeria,Jigawa,0,0,0,2020-03
166,2020-03-02,Nigeria,Kaduna,0,0,0,2020-03
167,2020-03-02,Nigeria,Kano,0,0,0,2020-03
168,2020-03-02,Nigeria,Katsina,0,0,0,2020-03
169,2020-03-02,Nigeria,Kebbi,0,0,0,2020-03
170,2020-03-02,Nigeria,Kogi,0,0,0,2020-03
171,2020-03-02,Nigeria,Kwara,0,0,0,2020-03
172,2020-03-02,Nigeria,Lagos,0,0,0,2020-03
173,2020-03-02,Nigeria,Nasarawa,0,0,0,2020-03
174,2020-03-02,Nigeria,Niger,0,0,0,2020-03
175,2020-03-02,Nigeria,Ogun,0,0,0,2020-03
176,2020-03-02,Nigeria,Osun,0,0,0,2020-03
177,2020-03-02,Nigeria,Ondo,0,0,0,2020-03
178,2020-03-02,Nigeria,Oyo,0,0,0,2020-03
179,2020-03-02,Nigeria,Plateau,0,0,0,2020-03
180,2020-03-02,Nigeria,Rivers,0,0,0,2020-03
181,2020-03-02,Nigeria,Sokoto,0,0,0,2020-03
182,2020-03-02,Nigeria,Taraba,0,0,0,2020-03
183,2020-03-02,Nigeria,Yobe,0,0,0,2020-03
184,2020-03-02,Nigeria,Zamfara,0,0,0,2020-03
185,2020-03-03,Nigeria,Abia,0,0,0,2020-03
186,2020-03-03,Nigeria,Adamawa,0,0,0,2020-03
187,2020-03-03,Nigeria,Akwa Ibom,0,0,0,2020-03
188,2020-03-03,Nigeria,Anambra,0,0,0,2020-03
189,2020-03-03,Nigeria,Bauchi,0,0,0,2020-03
190,2020-03-03,Nigeria,Bayelsa,0,0,0,2020-03
191,2020-03-03,Nigeria,Benue,0,0,0,2020-03
192,2020-03-03,Nigeria,Borno,0,0,0,2020-03
193,2020-03-03,Nigeria,Cross River,0,0,0,2020-03
194,2020-03-03,Nigeria,Delta,0,0,0,2020-03
195,2020-03-03,Nigeria,Ebonyi,0,0,0,2020-03
196,2020-03-03,Nigeria,Edo,0,0,0,2020-03
197,2020-03-03,Nigeria,Ekiti,0,0,0,2020-03
198,2020-03-03,Nigeria,Enugu,0,0,0,2020-03
199,2020-03-03,Nigeria,Federal Capital Territory,0,0,0,2020-03
200,2020-03-03,Nigeria,Gombe,0,0,0,2020-03
201,2020-03-03,Nigeria,Imo,0,0,0,2020-03
202,2020-03-03,Nigeria,Jigawa,0,0,0,2020-03
203,2020-03-03,Nigeria,Kaduna,0,0,0,2020-03
204,2020-03-03,Nigeria,Kano,0,0,0,2020-03
205,2020-03-03,Nigeria,Katsina,0,0,0,2020-03
206,2020-03-03,Nigeria,Kebbi,0,0,0,2020-03
207,2020-03-03,Nigeria,Kogi,0,0,0,2020-03
208,2020-03-03,Nigeria,Kwara,0,0,0,2020-03
209,2020-03-03,Nigeria,Lagos,0,0,0,2020-03
210,2020-03-03,Nigeria,Nasarawa,0,0,0,2020-03
211,2020-03-03,Nigeria,Niger,0,0,0,2020-03
212,2020-03-03,Nigeria,Ogun,0,0,0,2020-03
213,2020-03-03,Nigeria,Osun,0,0,0,2020-03
